                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
FORD,"ASIENTO VALVULA Ford Ranger motor PUMA 3.2, 5 Cil. 4V, TURBO ADM",,A9375,ADM,30.5,24,5.3,30º,4
FORD,"ASIENTO VALV.FORD RANGER Motor NGD 3,0 cc. ESC",541128,A5699,ESC,31.05,24.18,5.08,-,4
FORD,ASIENTO VALV. FORD FIESTA /KA ESC,,A5245,ESC,31.2,24.3,6,45º,4
FORD,"ASIENTO VALV.FORD ENDURA 1,0-1,3 ADM.",97BM 6057 A1A,A5443,ESC,31.6,25.5,6,45º,4
FORD,ASIENTO VALV.FORD FIESTA/ ESCORT ESC,,A5250,ESC,33.01,27,6,45º,4
FORD,"ASIENTO VALV.FORD FIESTA DIESEL ESC
Fiesta CLD. CLXD, Escort, Orion, Courier 1,8i Diesel- Mondeo 1,8i Turbo diesel",,A5324,ESC,33.1,27.1,6.5,45º,4
FORD,"ASIENTO VALV.FORD ZETEC 1,8 16VALV. ADM
Mondeo, Fiesta, Escort, Focus Zetec E 1,8i-2,0i 16v",79NU 6E 087A,A5437,ADM,33.62,27.5,6,-,4
FORD,ASIENTO VALV. FORD FIESTA DIESEL ESC,,A5247,ESC,34,27.5,6.5,45º,4
FORD,"ASIENTO VALV.FORD RANGER MOTOR NGD 3,0 cc. ADM",541110,A5698,ADM,34.05,27.5,5.11,-,4
FORD,ASIENTO VALV. FORD ESCORT ADM,84AU 6E 087 ,A5442,ADM,34.58,30,6,-,0
FORD,"ASIENTO VALV. Eco Sport,Fiesta,  Rocam 1,4/1,6i cc. 8v",,A5669,ESC,36.1,30,6,45º,4
FORD,"ASIENTO VALV. FORD KA 1,3 ADM",,A5620,ADM,36.5,30.5,6,46º,4
FORD,ASIENTO VALV.FORD TANDIBER FALCON 221 ESC,,A5231,ESC,36.6,30,5,45º,6
FORD,ASIENTO VALV. FORD FALCON 221 ECONO GNC ESC,,A5206,ESC,37,29.6,7.5,45º,6
FORD,ASIENTO VALV. FORD ESCORT ADM,84AU 6E 087B,A5439,ADM,38,32.5,6,-,0
FORD,"ASIENTO VALV. FORD FIESTA/ESCORT ADM
 ENDURA D 1800CC. DI",,A5237,ADM,38.05,31.55,6.2,45º,4
FORD,ASIENTO VALV. FORD FALCON GNC ESC,,A5232,ESC,38.1,32.5,5,45º,6
FORD,"ASIENTO VALV. FORD FIESTA DIESEL ADM
Fiesta CLD. CLXD, Escort, Orion, Courier 1,8i Diesel- Mondeo 1,8i Turbo diesel",,A5323,ADM,38.1,31,6.5,45º,4
FORD,ASIENTO VALV. FORD FALCON ECONO-MAX ESC,,A5221,ESC,38.7,29.2,7,45º,6
FORD,ASIENTO VALV. FORD FIESTA ADM,,A5246,ADM,38.7,32.7,6.5,45º,4
FORD,ASIENTO VALV.FORD CORSEL ADM,80NU 6057-A,A5441,ESC,39.13,33.1,6,-,0
FORD,ASIENTO VALV. FORD V8 ESC,,A5261,ESC,39.84,31.75,6.35,45º,4
FORD,ASIENTO VALV. FORD ADAP.TAUNUS ESC,,A5290,ESC,39.9,33.7,6,45º,4
FORD,ASIENTO VALV. FORD ESC ,,A5421,ESC,40.65,34.3,7.7,45º,6
FORD,ASIENTO VALV. FORD FASE I ESC,,A5436,ESC,41.35,33.8,8.5,30º,0
FORD,"ASIENTO VALV. FORD ZETEC ROCAM 1,6 ADM
Eco Sport,Fiesta, Zetec Rocam 1,4/1,6i 8v",,A5391,ADM,41.6,36.2,6.2,45º,4
FORD,ASIENTO VALV. FORD FALCON 221 ECONO GNC ADM,,A5205,ADM,44,36.5,8,45º,6
FORD,ASIENTO VALV.FORD CARGO FASE II ESC,,A5435,ESC,44,37.8,8.8,45º,0
FORD,ASIENTO VALV.FORD ADAPT TAUNUS ADM,,A5289,ADM,45.7,40,6,45º,4
FORD,ASIENTO VALV. FORD TRACTOR ADM,,A5416,ADM,48.25,41.8,6.45,45º,6
FORD,ASIENTO VALV. FORD CARGO FASE II ADM,,A5434,ADM,49.83,41,9.4,30º,0
FORD,"ASIENTO VALV. FORD ROCAM 1,0",,A6808,ESC,30.11,23.3,6.4,45°,
GM,Corsa GLS/Pick Up/Astra - Mot. C16NZ 1.6 Lts. GNC,,A5511D,ADM,39.65,33,6,45°,
GM,CORSA GLS/Pick Up/Astra - Mot. C16NZ 1.6 Lts. GNC,,A5512D,ESC,32.65,26.5,6,45°,
GUASCOR,ASIENTO VALVULA GUASCOR,,A9383,,55.11,45.5,8.8,20º,6
HINO,ASIENTO VALVULA HINO J08C ESC,,A5711,ESC,38.96,32.2,6.2,45º,6
HINO,ASIENTO VALVULA HINO J08C ESC,,A5710,ADM,41,33.9,6.9,30º,6
INDENOR,DIESEL TURBO PEUGEOT 505- PICKUP CHEVROLET,301912 E,A9091,ESC,37.2,31,6.2,45°,
INDENOR,ASIENTO VALVULA INDENOR XD 2 DIESEL ESC,,A5033,ESC,36.15,30,6.3,45º,4
INDENOR,ASIENTO VALVULA INDENOR XD3 DIESEL TURBO ESC,,A5037,ESC,37.16,31,6.2,45º,4
INDENOR,ASIENTO VALVULA INDENOR XD 2 DIESEL ADM,,A5032,ADM,42.15,34,8.3,45º,4
INDENOR,ASIENTO VALV.INDENOR XD3 DIESEL TURBO ADM,,A5036,ADM,44.16,38,6.2,45º,4
INTERNATIONAL,ASIENTO VALV. INTERNATIONAL DT 360 ESC,67599,A5606,ESC,39.01,31.94,9.1,45º,6
INTERNATIONAL,ASIENTO VALV.INTERNATIONAL  DT 466 ESC,,A5155,ESC,41.3,34,9.5,45º,6
INTERNATIONAL,ASIENTO VALV. INTERNATIONAL DT 360 ADM,671602,A5607,ADM,45.27,37.85,8.65,30º,6
INTERNATIONAL,ASIENTO VALV. INTERNATIONAL DT 466 ADM,,A5156,ADM,50.8,43.3,10,30º,6
ISUZU,ASIENTO VALV. ISUZU 4JA 1 EX,,A5586,ESC,36.82,30.5,7,,4
ISUZU,ASIENTO VALV.ISUZU 4BE 1 EX,,A5588,ESC,39.09,33,7,,6
ISUZU,ASIENTO VALV. ISUZU 4BD/6BDI ESC,,A5408,ESC,39.1,32.7,7,45º,4
ISUZU,ASIENTO VALV. ISUZU 4JA 1 EN,,A5585,ADM,41.32,34.5,6.8,,4
ISUZU,ASIENTO VALV. ISUZU 4BE 1 IN,,A5587,ADM,47.09,41,7,,6
ISUZU,ASIENTO VALVULA ISUZU 4BD/6BDI DIESEL ADM,,A5407,ADM,47.1,40.9,7,45º,4
ISUZU,ASIENTO VALV. IZUSU 580 ESC,,A5121,ESC,48.38,38,9.35,45º,4
IVECO,"ASIENTO VALV.IVECO CURSOR 10-STRALIS-EURO STAR EUROTECH MP ADM
CURSOR 10 - STRALIS AS/AD/AT 190/260/440 - 
EURO TECH MP 190/260/440 - EURO STAR LD 190/260/440",99466613,A9369,ADM,44.32,35.15,9,30º,6
JOHN DEERE,"ASIENTO VALVULA JHON DEERE 60 68 ESC
 179D/T,239D/T.3179D/T.359D",R51734,A5283,ESC,41.67,35.87,5.58,45º,4
JOHN DEERE,ASIENTO VALVULA JHON DEERE ESC,,A5104,ESC,42,33.5,7,45º,6
JOHN DEERE,ASIENTO VALVULA JHON DEERE TRACTOR 3420/4420 ESC,,A5129,ESC,42.7,36,6,45º,6
JOHN DEERE,ASIENTO JHON DEERE,R106829,A5383,ESC,43.07,34.2,6.18,45º,0
JOHN DEERE,ASIENTO JHON DEERE,R106830,A5384,ADM,47.19,39.4,6.55,45º,0
JOHN DEERE,"ASIENTO VALVULA JHON DEERE 60 68 ADM
164-219-329 DIESEL",R73064,A5284,ADM,47.25,40.95,5.61,45º,6
JOHN DEERE,ASIENTO VALVULA JHON DEERE 3420 ADM,,A5128,ADM,48.2,41,6,45º,6
JOHN DEERE,ASIENTO VALVULA JHON DEERE  TRACTOR 3420/4420 ADM,,A5103,ADM,48.5,40,7,45º,6
JOHN DEERE,ASIENTO VALV. JHON DEERE R119132,R119132,A5385,ESC,49.08,36.7,6,30º,4
JOHN DEERE,"ASIENTO VALV. JOHN DEERE R119132;  L6, 466 C.I., (7.6L), 6076A/6076T, Diesel, OHV, 12 Valve, TURBO16/7/2024; 496 C.I., (8.1L), 6081, Diesel, OHV, 12 Valve, PowerTech TURBO",R119132,A5712,ESC,49.08,37,6,30º,4
JOHN DEERE,"ASIENTO VALV. JHON DEERE R121193;  L6, 466 C.I., (7.6L), 6076A/6076T, Diesel, OHV, 12 Valve, TURBO16/7/2024; 496 C.I., (8.1L), 6081, Diesel, OHV, 12 Valve, PowerTech TURBO",R121193,A5386,ADM,52.08,44.3,6,30º,4
JOHN DEERE,"ASIENTO VALV. JHON DEERE R121193;  L6, 466 C.I., (7.6L), 6076A/6076T, Diesel, OHV, 12 Valve, TURBO16/7/2024; 496 C.I., (8.1L), 6081, Diesel, OHV, 12 Valve, PowerTech TURBO",R121193,A5713,ADM,52.08,44.4,6,30º,4
JOHN DEERE,"EXHAUST STD. 6081 8.1L Tier 1 - 2 - 3 from ESN 200,000 / 6 Cyl",R119132,A6770,ESC,49.097,36.7,6.1,30º,6
JOHN DEERE,"INTAKE STD. 6081 8.1L Tier 2 - 3 from ESN 199,999 - 200,000 / 6 Cyl",R121193,A6771,ADM,52.08,44.4,6.1,30º,6
JOHN DEERE,John Deere PowerTech 6090 9.0L / TIER 2 - 3 / 6 Cyl,R527285,A6769,A/E,41.61,35.5,5.5,30º,6
JOHN DEERE,"TIER 3 - 6,8 T/H - 6,8T - 6,8D - 4,5 T/H - 4,5T - 4,5D",TR85687,A6772,ESC,43.07,34.2,6.18,30º,4/6
JOHN DEERE,TIER 3 - 6.8T/H - 6.8T - 6.8D - 4.5T/H - 4.5 T- 4.5 D,TR98063,A6773,ADM,47.16,39.5,6.55,30º,4/6
JOHN DEERE,4045/60 PowerTech For Tier 2 & Tier 3 Applications - 6 CyL / 4 CyL,TRE518082,A6775,ADM,37.5,30.5,6.25,30º,4/6
JOHN DEERE,PowerTech - 6068T/H / 4045T/H -For Tier 2 & Tier 3 Applications,TRE518083,A6776,,36.5,28.5,6,25°,
LAND ROVER,"ASIENTO VALV. LAND ROVER A-E
MODEL 88-109-110-111",,A5054,A-E,34.1,30.16,4.76,45º,6
LAND ROVER,"ASIENTO VALV. LAND ROVER ESC
ENG. /MOT MODEL NAFTERO",,A5153,ESC,36.57,28.6,5.2,45º,4
M.W.M,"ASIENTO VALV. M.W.M SPRINT 4,07/6,07/6,07T ADM",94078345003,A5451,ADM,33.57,28,6.6,-,6
M.W.M,ASIENTO VALV. M.W.M 225 D299-TD229 ESC,"9,327,345,0033",A5090D,ESC,39.09,33.2,7,45º,4
M.W.M,"ASIENTO VALV. M.W.M TURBO ESC
 D225/226/D299-TURNINADO Brasil","9,229,0345,3013",A5424,ESC,39.1,33,7,45º,6
M.W.M,"ASIENTO VALV, M.W.M SPRINT 4,07/6,07/6,07T ESC",94078345002,A5452,ESC,40.7,34,6.7,-,4
M.W.M,ASIENTO VALV. M.W.M ESC,"9,610,0,345,004",A5412D,ESC,43.1,34.4,7.4,60º,4
M.W.M,ASIENTO VALV. M.W.M ESC,9.610.0.345.004,A9117D,ESC,43.11,34.4,7.4,60º,6
M.W.M,ASIENTO VALV. M.W.M 225  D299-TD229 ADM,"9,327,345,0023",A5089,ADM,43.15,36,7.4,45º,4
M.W.M,ASIENTO VALV. M.W.M  D225/226/D299-TD229 ADM,"9,327,8,345,002",A5422,ADM,43.15,36,7,45º,6
M.W.M,"ASIENTO VALV. M.W.M TURBO  ADM
 D225/226/D299 TURBINADO Brasil","6,226,8,345,302",A5423,ESC,43.15,36,7,30º,6
M.W.M,ASIENTO VALV. MWM D-327/227/226Z ADM,6.226.0.345.3033,A9093,ADM,43.15,34.5,7,45º,4
M.W.M,"ASIENTO VALV. M.W.M. ADM.
SERIE 10 - ACTEON 4,12T TCE","9,610,0,345,003",A5411,ADM,46.15,38.5,7.2,60º,4
M.W.M,ASIENTO VALV. M.W.M. ADM.,9.610.0.345.003,A9114,ADM,46.16,38.5,7.2,60º,4
MACK,ASIENTO VALV. MACK E7/E6 ADM,13 GC 2251 P15,A5616,ADM,46.5,39.5,7.1,30º,6
MACK,ASIENTO VALV. MACK E7/E6 ESC,13 GC 2264 P15,A5617,ESC,43,36.3,6.3,30º,6
MACK,"ASIENTO VALV. MACK 673 ESC
673/5/6-707-711-864-6",13 GC 2233 P15,A5057,ESC,52.98,43,7.55,30º,6
MACK,ASIENTO VALV. MACK E7 ESC,136 GC 2247 P1,A5605,ESC,53.1,43,,,6
MACK,ASIENTO VALV. MACK 673 ADM,13 GC 2234 P15,A5056,ADM,62,52,7.55,30º,6
MAN,ASIENTO VALV. MAN ESC,51.03203.0366,A5644,ESC,40.05,33,8.05,45º,6
MAN,ASIENTO VALV. MAN ADM," 51,03203,0365",A5643,ADM,42.05,32.2,8.05,30º,6
MAN,ASIENTO VALV. MAN D0826,"51,03203,0305",A5505,ESC,44.1,35,8.15,45º,6
MAN,ASIENTO VALV. MAN 2816 TGA ESC,51032030346,A5580,ESC,44.1,36,7.8,45º,6
MAN,ASIENTO VALV. MAN 2816 TGA ADM,51032030345,A5579,ADM,46.1,37.2,7.8,30º,6
MAN,ASIENTO VALV. MAN 2876 ESC,51.03203.0186  51.03203.0302,A5370,ESC,48.1,40.1,7.96,45º,6
MAN,ASIENTO VALV. MAN 2876 ADM,51.03203.0244  51.03203.0301,A5371,ADM,48.1,38.1,7.96,30º,6
MAN,ASIENTO VALVULA MAN D 0826,"51,03203,0319
   51.03203.0333
     51.03203.0253",A5532,ADM,51.09,41.6,7.4,30º,6
MAN,ASIENTO VALV.MAN ADM 2530/2532/2538.,51.03203.0171,A5260,ADM,61.1,48,9,30º,6
MAN,ASIENTO VALV. MAN ADM  D 2555,51.03203.0218,A5337,ADM,61.1,49.5,9.9,45º,6
MAN,ASIENTO VALV. MAN ADM D 2865/2866,51.03203.0242,A5338,ADM,61.1,49,8.8,30º,6
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC / V-TRONIC (15.190)",07W-103-441,A6767,ESC,36.1,28.4,6.55,45°,6
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC / V-TRONIC (15.190)",07W-103-441,A6767T,ESC,35.95,28.4,6.55,45°,6
MAN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ADM / V-TRONIC (15.190)",07W-103-431,A6766,ADM,40.08,30.25,8.3,30°,6
MAN,"ASIENTO VALVULA MAN 2840 ADM 
MARINE DIESEL ENGINE MAN 2840",51.03203.0242,A9126D,ADM,61.1,49,8.8,30º,6
MAN,ASIENTO VALV.MAN ESC 2530/2532/2538.,51.03203.0184,A5339,ESC,53.1,42.85,10,45º,6
MAN,"ASIENTO VALV. MAN Nº 51,032,03,0168",51.03203.0168,A5340,,61.1,50.9,10.35,45º,6
MAXION,MAXION HS GEMINI ROVER F100-BLAZER-M. BENZ,,A5276,ESC,38.1,30.8,8.5,,
MAXION,ASIENTO VALV. MAXION HS GEMINI ESC,,A5174,ESC,38.09,30.8,8.4,45º,4
MAXION,"ASIENTO VALV.MAXION S4-S4T ESC / CHEVROLET D 20 - D 6000 / GMC D-40 (442/443) 1992-1995 / S4 4,0, 8V, L4 OHV ",70470096,A5285,ESC,39.6,33,6,45º,4
MAXION,ASIENTO VALV.MAXION HS GEMINI ADM,,A5175,ADM,40.49,34.2,8,45º,4
MAXION,"ASIENTO VALV.MAXION F100 ADM
F 100 MB SPRINTER",,A5172,ADM,40.63,32,9.5,45º,4
MAXION,"ASIENTO VALV.MAXION S 4T ADM
CHEVROLET D 20 ",70470094,A5270,ADM,48.7,40.5,6,30º,4
MAXION,"ASIENTO VALV.MAXION S 4 ADM / CHEVROLET D 20 - D 6000 / GMC D-40 (442/443) 1992-1995 / S4 4,0, 8V, L4 OHV ",70470095,A5271,ADM,48.7,40.7,6,45º,4
MAZ,ASIENTO VALV. MAZ ESC,,A5142,ESC,54.08,42.3,8,30º,6
MAZ,ASIENTO VALV. MAZ ADM,,A5141,ADM,62.1,52,6.35,30º,6
MERCEDES BENZ,"OM 449, 447 , 1633",4030530032,A5529,,53.12,43,9.8,45°,
MERCEDES BENZ,"ASIENTO VALV. M.BENZ OM 360 ESC
 327-360",327 053 0432,A5132,ESC,46.11,36,10,45º,6
MERCEDES BENZ,"ASIENTO VALV.M. BENZ OM 904 ESC
 EURO TOP BREAK",541 053 2032,A5486,ESC,21.06,14.4,5.5,45º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ SPRINTER 313 16V  ESC,A611 053 0032,A5559,ESC,29.85,24,5.6,,4
MERCEDES BENZ,ASIENTO VALV. M. BENZ SPRINTER 313 16V ADM,A611 053 0531,A5558,ADM,31.06,26,5.6,,4
MERCEDES BENZ,"ASIENTO VALV. M. BENZ 904 E ADM
EURO 4 ELEC 904-906",906 053 0131,A5364,ADM,35.1,28,7.6,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ  OM 601 ESC,603 053 0832,A5484,ESC,36.09,30.6,6,45º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 352 ESC  
352-314-900/91","352 053 0032 /
  352 053 1232                                  ",A5002,ESC,38.07,28,8.5,45º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 366 ESC
 366 ASPIRADO","  352 053 1532 
   366 053 1632 
 352 053 2032   ",A5094,ESC,38.07,30,8.5,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ 366 TURBO ESC,"366 053 0132   / 366 053 0432 
  366 053 1232  / 366 053 2032",A5096,ESC,38.07,30,8,45º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ OM 352 ESC,352 053 2032,A9115,ESC,38.08,28,8.5,15º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ  OM 601 ESC,602 053 0531,A5483,ESC,39.08,33.7,6,,6
MERCEDES BENZ,"ASIENTO VALV. M.BENZ OM 355 ESC
 355/355A/3550/355 Cooler ",355 053 0032,A5263,ESC,40.06,31,7.2,30º,6
MERCEDES BENZ,"ASIENTO VALV. M.BENZ OM 355 ESC
 355-346-910/916/918/9","346 053 0532 /  355 053 1032 
 355 053 1832",A5006,ESC,40.07,31,7.47,45º,6
MERCEDES BENZ,"ASIENTO VALV. M.BENZ 904 E ESC
 EURO 4 ELEC 904-906",906 053 0132,A5363,ESC,40.07,31,8,45º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ 904 E ESC
904 E ELECTRÓNICO   EURO 4",906 053 0132,A9122,ESC,40.07,31.1,8,45º,6
MERCEDES BENZ,ASIENTO VALV. MERCEDES BENZ   OM 601,601 053 0331,A5482,ADM,40.09,33.5,7,,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 457 ESC,541 053 0532  / 457 053 0532,A5368,ESC,43.09,34.3,8,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 457 ESC,541 053 0532,A9142,ESC,43.09,34.4,8.05,45º,6
MERCEDES BENZ,"ASIENTO VALV. M.BENZ OM 366 ADM
 364-366-1518",366 053 0931,A5003,ADM,43.87,34.5,7.7,30º,6
MERCEDES BENZ,"ASIENTO VALV. M.BENZ 364/6 ADM
 366 TURBO Ecologic",366 053 3531     366 053 3931,A5016,ADM,43.87,34.5,7.5,20º,6
MERCEDES BENZ,ASIENTO VALV.M.BENZ OM 366 TURBO ADM.,366 053 2031        366 053 3531,A5093,ADM,43.87,35,7.4,30º,4
MERCEDES BENZ,ASIENTO VALV. M.BENZ 1518 TURBO ESC,,A5358,ESC,43.87,34.57,7.75,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 366 ADM 
OM 364-366-1518 TURBO",366 053 0931,A9116,ADM,43.88,34.5,7.7,30º,6
MERCEDES BENZ,"ASIENTO VALV.M. BENZ 352 ADM
 352-314-900/910/914","352 053 1631     352 053 2231
  352 053 3131",A5000,ADM,45.07,37,8.3,45º,
MERCEDES BENZ,"ASIENTO VALV.M. BENZ 352 ADM
 352-314-900/910/914",352 053 0031,A5001,ADM,45.07,37,8.2,30º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ 1518 ADM,,A5350,ADM,45.07,34.6,7.75,45º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ OM 314/352 ADM,"352 053 3531  /  352 053 3831 / 
352 053 4031 ",A5357,ADM,45.87,37,8.3,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 352 ADM,352 053 3631,A5008,ADM,46.07,36.8,8.4,45º,6
MERCEDES BENZ,ASIENTO VALV. M.BENZ OM 457 LA ADM,457 053 1631,A5372,ADM,47.39,36.5,7.8,30º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ ACTROS ADM,541 053 1731,A5485,ADM,47.39,40.1,7.7,30º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 457 LA ADM,457 053 1631,A9141,ADM,47.39,37,7.75,30º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 457 LA ADM,457 053 1631,A9287,ADM,47.4,40.5,7.8,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 346/355 ADM
 355-346-910/916/918/9",346 053 0731 / 355 053 1131,A5005,ADM,51.07,37,7.47,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 355 ADM,355 053 0131,A5161,ADM,51.07,37,7.47,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 400 ESC
447 LA - 449 LA",442 053 0032 /  442 053 0132,A5280,ESC,53.1,43,9.2,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ 407 ESC,447 053 0832,A5660,ESC,53.1,43,8.3,20º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 403 ESC
 401-402-403-404-4","ASIENTO VALV. M. BENZ OM 403 ESC
 401-402-403-404-4",A5541,ESC,53.11,43.1,9.7,45º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 401 ADM,402 053 0131,A5233,ADM,60.1,45.4,8.35,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 400 ADM
447 LA - 449 LA","422 053 0131
447 053 0031",A5279,ADM,60.1,49.3,8.35,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ 400 ADM
 401A TURBO 402",403 053 0931,A5543,ADM,60.1,51,8.95,30º,6
MERCEDES BENZ,ASIENTO VALV. M. BENZ 407 ADM,407 053 0431,A5659,ADM,60.1,51,8.3,20º,6
MERCEDES BENZ,ASIENTO VALV.M. BENZ OM 400 ESC,442 053 0531,A5344,ADM,60.11,47.15,8.35,30º,6
MERCEDES BENZ,"ASIENTO VALV.M. BENZ OM 400 ADM
OM 442 /447",442 053 05 31,A9004,ADM,60.11,47.1,8.4,30º,6
MERCEDES BENZ,"ASIENTO VALV.M. BENZ OM 400 ADM 
OM 442 /447",422 053 05 31,A9005,ADM,60.11,51,8.4,30º,6
MERCEDES BENZ,ASIENTO MERCEDES BENZ,422 053 0631,A9005-1,ADM,60.31,51,8.64,30º,
MERCEDES BENZ,ASIENTO MERCEDES BENZ,422 053 0731,A9005-2,ADM,60.51,51,8.8,30º,
MERCEDES BENZ,ASIENTO VALV. M. BENZ OM 407 ADM,403 053 0331,A5154,ADM,61.12,51,9.2,30º,6
MERCEDES BENZ,"ASIENTO VALV. M. BENZ OM 360 ADM
 327-360-360H7",327 053 0431,A5131,ADM,56.11,45,10,45º,6
MERCEDES BENZ,"OM 449, 447 , 1633",4030530931,A5528,,60.12,51,9.1,30°,
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D14 EX,,A5596,ESC,42.08,34.7,6.5,,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D15 ESC,,A5598,ESC,44,38,6.5,,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 4D56/55 IN,,A5590,ADM,44.1,36.4,6.05,,4
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D14 IN,,A5595,ADM,49.09,41.4,6.5,,4
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D22 EX,,A5594,ESC,52.1,43.2,7.05,,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D15 ADM,,A5597,ADM,53,44.2,6.5,,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 8DC9 EX,,A5592,ESC,55.13,46.2,7.05,45º,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 6D22 IN,,A5593,ADM,57,49.3,7,,0
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 8DC9 IN,,A5591,ADM,61.13,52.2,7.05,,4
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 4D31 EX,,A5584,ESC,39.09,32.2,6.5,,4
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 4D56/55 EX,,A5589,ESC,39.09,32.2,6.5,,4
MITSUBISHI,ASIENTO VALVULA MITSUBISHI 4D31 IN,,A5583,ADM,46.09,39,6.8,,4
NISSAN,"FRONTIER 2,7 ESC",,A9173,ESC,38.23,31.6,7.1,45º,4
NISSAN,NISSAN SENTRA CD 17 -SENTRA 16V ESC,,A9171,ESC,25.35,20.15,6.5,45º,
NISSAN,NISSAN SENTRA CD 17 -SENTRA 16V ADM,,A9170,ADM,26.3,21.25,6.5,45º,4
NISSAN,ASIENTO VALV. NISSAN FD6 ESC,,A5116,ESC,41.03,33.8,7,30º,4
NISSAN,"FRONTIER 2,7CC ADM",,A9172,ADM,45.7,38.75,6,45º,4
NISSAN,ASIENTO VALV. NISSAN FD6 ADM,,A5115,ADM,50.05,42,6.3,45º,4
PEGASO,ASIENTO VALV. PEGASO 9109 ESC,,A5040,A-E,39.1,31.8,7.4,45º,6
PEGASO,"ASIENTO VALV. PEGASO 360 HP ESC
 9156/360 HP",,A5017,ESC,41.55,33,9.7,45º,6
PEGASO,ASIENTO VALV. PEGASO 9156 ESC,,A5039,ESC,42,35,7.5,45º,6
PEGASO,"ASIENTO VALV. PEGASO 360 HP ADM
 9156/360 HP",,A5018,ADM,46.05,38,9.7,30º,6
PEGASO,ASIENTO VALV. PEGASO 9156 ADM,,A5038,ADM,46.09,39,7.5,45º,6
PERKINS,PERKINS - 6-354-4 - Asp. Normal y Turbo,33152155,A9113,ADM,51.29,40.3,7.2,37°,
PERKINS,"ASIENTO VALV. PERKINS 6305 ESC
PERKINS T4.33",DX 1321,A9138,ESC,35.42,30.17,6,45º,6
PERKINS,"ASIENTO VALV. PERKINS 6305 ESC
T 4.33",008294-,A5127,ESC,35.43,29.4,6,45º,6
PERKINS,ASIENTO VALV. PERKINS 6-305 ESC,33124428,A5286,ESC,36,29,6.5,45º,6
PERKINS,ASIENTO VALV. PERKINS 4203 ESC,33114428,A5493,ESC,36.17,30,8.5,45º,0
PERKINS,ASIENTO VALV. PERKINS ESC,3314A005,A5388,ESC,37.29,30.1,7.14,44º,0
PERKINS,ASIENTO VALV. PERKINS 740/107 ESC,,A5701D,ESC,41.35,30.1,5.22,31º,6
PERKINS,"ASIENTO VALV. PERKINS 6305 ADM
PERKINS T4.33",DX 1320,A9137,ADM,41.6,35.5,6,45º,6
PERKINS,ASIENTO VALV. PERKINS 6305 ADM,008293-,A5126,ADM,41.63,35.5,6,45º,6
PERKINS,ASIENTO VALV. PERKINS 6358 ESC,70470027,A5446,ESC,42.05,34.9,6.3,45º,0
PERKINS,ASIENTO VALV. PERKINS 6305 ADM,70470051,A5282,ADM,42.07,35,6.5,30º,6
