3B,MAHLE,EDIVAL,ORIGINAL,FABRICANTE
249 AC,VA0570650,2023 A,31431103/641,PERKINS (MAXION)
249 AC+0.4,VA0570650+04,2023 A+04,,PERKINS (MAXION)
249 AC+0.8,VA0570650+08,2023 A+08,,PERKINS (MAXION)
250 A,VA0570033,2015 A,0910030-0910069,PERKINS (MAXION)
251 E,VE0570034,22015 E,0910041-0910073,PERKINS (MAXION)
3342 AC,VA0570123,2100 A,70910025/35,PERKINS (MAXION)
3344 ACB,VA0570250,22101 A,70910053,PERKINS (MAXION)
3386 AC,VA0570661,2449 A,008290,PERKINS (MAXION)
3387 ECP,VE0570662,22449 E,008291,PERKINS (MAXION)
3388 ACB,VA0570657,22100 A,70910037/34,PERKINS (MAXION)
3389 ECB,VE0570122,22100 E,70910038/36/27,PERKINS (MAXION)
3392 AC,VA0570038,2414 A,70910017,PERKINS (MAXION)
3393 ECB,VE0570037,22414 E,70910018,PERKINS (MAXION)
3858 ACB ,VA0570231,2310 A,70910081,PERKINS (MAXION)
3859 EBN,VE0570232,22310 E,70910080,PERKINS (MAXION)
596 A,VA0570652,2039 A,008212,PERKINS (MAXION)
596 A+0.4,VA0570652+04,2039 A+04,,PERKINS (MAXION)
596 A+0.8,VA0570652+08,2039 A+08,,PERKINS (MAXION)
1237 E,VE0440548,21032 E,467398,PEUGEOT
1241 E,VE0440580,21049 E,081207800,PEUGEOT
1243 E,VE0440582,21053 E,7812100000,PEUGEOT
1245 EC,VE0440584,21170 E,,PEUGEOT
1246 EC,VE0440583,21057 E,7581717000,PEUGEOT
1246 EC+0.4,VE0440583+04,21057 E+04,,PEUGEOT
1246 EC+0.8,VE0440583+08,21057 E+08,,PEUGEOT
1292 EGX,VE0440289,21070 EGNC,7910029579,PEUGEOT
23241 ECP,VE0440581,21051 E,9350111780,PEUGEOT
23241 ECP+0.4,VE0440581+04,21051 E+04,,PEUGEOT
23241 ECP+0.8,VE0440581+08,21051 E+08,,PEUGEOT
23242 EBS,VE0440556,21209 EGNC,,PEUGEOT
23242 EP,VE0440588,21209 E,0949.59,PEUGEOT
23301 ECB,VE0440298,21205 EGNC,,PEUGEOT
23301 ECB,VE0440585,21205 E,9153501980,PEUGEOT
236 A,VA0440547,1032 A,467397,PEUGEOT
240 A,VA0441035,1049 A,082107700,PEUGEOT
242 A,VA0440564,1053 A,7812099000,PEUGEOT
246 AC,VA0440565,1057 A,7581718000,PEUGEOT
246 AC+0.4,VA0440565+04,1057 A+04,,PEUGEOT
246 AC+0.8,VA0440565+08,1057 A+08,,PEUGEOT
292 AC,VA0440549,1070 AGNC,7910029578,PEUGEOT
3241 AC,VA0440567,1151 A,9350111580/480,PEUGEOT
3241 AC+0.4,VA0440567+04,1151 A+04,,PEUGEOT
3241 AC+0.8,VA0440567+08,1151 A+08,,PEUGEOT
3242 A,VA0440555,1209 AGNC,,PEUGEOT
3242 A,VA0440570,1209 A,094858,PEUGEOT
3301 AC,VA0440551,1205 AGNC,9153501780,PEUGEOT
3302 AC,VA0440568,1206 A,96005391,PEUGEOT
3303 EC,VE0440279,21216 E,094974,PEUGEOT
3303 EC,VE0440586,21206 E,96272853,PEUGEOT
3304 AC,VA0440591,21216 A,094863,PEUGEOT
3304 AC,VA0440568,1206 A,96005391,PEUGEOT
3510 ACB,VA0010211,22083 A,7301820,PEUGEOT
3540 A,VA0440561,1225 AGNC,9628943380/094892,PEUGEOT
3541 ECB,VE0440297,21225 EGNC,962981180/0949A6,PEUGEOT
3542 A,VA0440557,1210 AGNC,094866/9605936180,PEUGEOT
3543 ECB,VE0440558,21210 EGNC,,PEUGEOT
3543 ECB,VE0440589,21210 E,094972/9605936280,PEUGEOT
3564 A,VA0440576,1230 A,97327262,PEUGEOT
3565 ECB,VE0440283,21230 E,96304239,PEUGEOT
3576 A ,VA0440569,1208 A,094861/9626052980,PEUGEOT
3577 ECB,VE0440301,21208 E,094962/9629861180,PEUGEOT
3577 ECB,VE0440554,21208 EGNC,,PEUGEOT
3616 A,VA0440578,1423 A,0948A9-0948A0,PEUGEOT
3617 ECBS,VE0440598,21423 E,0949A8-0949C5,PEUGEOT
3798 A,VA0441091,1239 A,0948.91,PEUGEOT
381 AC,VA0440566,1075 A,7932582418,PEUGEOT
381 AC+0.4,VA0440566+04,1075 A+04,,PEUGEOT
381 AC+0.8,VA0440566+08,1075 A+08,,PEUGEOT
3842 A,VA0440574,1227 A,96150145,PEUGEOT
3843 E,VE0440595,21227 E,96150144,PEUGEOT
3844 AC,VA0441078,1420 A,0948.C2,PEUGEOT
3845 ECB,VE0441054,21420 E,0949.B1,PEUGEOT
3884 A,VA0440579,1424 A,0948.99,PEUGEOT
3885 ECB,VE0440599,21424 E,0949.99,PEUGEOT
4008 AC,VA0441429,1419 A,0948-C7,PEUGEOT
4009 ECB,VE0441430,21419 E,0949-C3,PEUGEOT
4010 A ,VA0440575,1228 A,96101886/96183535,PEUGEOT
4011 ECB ,VE0440596,21228 E,96101887,PEUGEOT
4034 AN,VA0440572,1224 A,97531079,PEUGEOT
4035 EPN,VE0440593,21224 E,97531046,PEUGEOT
4041 ECB,VE0010212,22183 E,99432837EC54-0652,PEUGEOT
4210 AX,VA0441689,1431 A,9675424780,PEUGEOT
4211 EX,VE0441690,21431 E,9675424980,PEUGEOT
108 A,VA3200866,1061 A,1113041000,RASTROJERO
108 A+0.8,VA3200866+08,1061 A+08,,RASTROJERO
1109 E,VE3200867,21061 E,1113041100,RASTROJERO
1109 E0.8,VE3200867+08,21061 E+08,,RASTROJERO
1253 E,VE3200865,1033 E,E41-14-2,RASTROJERO
1253 E+0.8,VE3200865+08,1033 E+08,,RASTROJERO
252 A,VA3200864,1033 A,E41-14-1,RASTROJERO
252 A+0.8,VA3200864+08,1033 A+08,,RASTROJERO
1207 E,VE0180399,21027 E,711045-2069914,RENAULT
1255 E,VE0180409,1034 E,5552842,RENAULT
1257 E,VE0180401,21035 E,5555263,RENAULT
1258 E,VE0180405,21058 E,7700505115,RENAULT
1261 ECP,VE0180403,21047 E,936981-206940,RENAULT
1287 ECP,VE0180407,21065 E,2069916-2214811,RENAULT
1294 E,VE0180994,21072 E,7702056965,RENAULT
1363 EGX,VE0180302,21055 EGNC,7702080678,RENAULT
1421EGX,VE0180287,21079 EGNC,7702057001,RENAULT
1458 E,VE0180412,21255 E,7700638247,RENAULT
1461 EGX,VE0180304,21072 EGNC,7702057759,RENAULT
206 A,VA0180398,1027 A,736150-2069913,RENAULT
21421 EB,VE0180431,21179 E,,RENAULT
23218 EBS,VE0180306,21356 EGNC,7700713790,RENAULT
23240 ECP,VE0180291,22140 E,7700663546,RENAULT
23309 ECBS,VE0180305,21355 EGNC,,RENAULT
23421 EBS,VE0180308,21357 E,7700100133 / 7701471705,RENAULT
254 A,VA0180408,1034 A,5530684,RENAULT
256 A,VA0180400,1035 A,5555751,RENAULT
258 A,VA0180404,1058 A,7700509771,RENAULT
260 A,VA0180402,1047 A,936979,RENAULT
287 AC,VA0180406,1065 A,2214280,RENAULT
294 AC,VA0180386,1072 AGNC,7702056057,RENAULT
3218 A,VA0180391,1356 AGNC,7700713788,RENAULT
3240 A,VA0180290,2140 A,7700663545,RENAULT
3308 AC,VA0180389,1355 AGNC,7702220678,RENAULT
3420 AB,VA0180307,21357 A,7700100131 / 7701471704,RENAULT
3452 A,VA0180423,1359 A,7700855926,RENAULT
3453 EB,VE0180424,21359 E,7700855927,RENAULT
3526 A,VA0180393,1360 AGNC,7700853390,RENAULT
3527 E,VE0180310,21360 EGNC,7700865934,RENAULT
3544 A,VA0180425,1362 A,7700110387,RENAULT
3545 EB,VE0180294,21362 E,7700110389,RENAULT
3560 AB,VA0180436,21358 A,7700864859,RENAULT
3561 EBS,VE0180309,21358 E,7700712327/716016,RENAULT
3598 A,VA0180124,1260 A,7701471378,RENAULT
3599 E,VE0180125,21260 E,7701471379/7701473354,RENAULT
3620 A ,VA0180421,1354 A,7701469266,RENAULT
3621 EB ,VE0180422,21354 E,7701469269,RENAULT
3626 A,VA0180419,1353 A,7701465172,RENAULT
3627 EB,VE0180420,21353 E,7700747324,RENAULT
363 A,VA0180384,1055 AGNC,7700682064,RENAULT
366 AB,VA0180397,21084 AGNC,7702086415,RENAULT
3714 A,VA0180395,1361 AGNC,,RENAULT
3715 EB,VE0180396,21361 EGNC,7700865449,RENAULT
3716 AC ,VA0180417,1261 A,7438610007,RENAULT
3717 ECB ,VE0180303,21261 E,7438610008,RENAULT
3860 A,VA0180413,1256 A,7701473184,RENAULT
3861 EB,VE0180414,21256 E,7701473183,RENAULT
3862 A ,VA0180427,1379 A,7701472986,RENAULT
3863 EB ,VE0180438,21379 E,7701473004,RENAULT
3864 A,VA0180415,1259 A,7701471279,RENAULT
3865 EB,VE0180416,21259 E,7701471280,RENAULT
4080 AN,VA0181483,1364 A,,RENAULT
4081 EPN,VE0181484,21364 E,,RENAULT
421 A,VA0180387,1079 AGNC,7702056989,RENAULT
458 A,VA0180411,1255 A,,RENAULT
461 A,VA0180410,1069 A,7700561319,RENAULT
1263 E,VE0760798,22025 E,3438131355,SCANIA
1374 ACSS,VA0760800,6403 A,242656-272804,SCANIA
1374 ACSS20º,VA0760057,22045 A,294674,SCANIA
1374 ECSS  ,VE0760058,22045 E,232018,SCANIA
23395 ECSS,VE0760012,22058 E,1100997-1397521,SCANIA
263 A,VA0760797,2025 A,3438131354,SCANIA
3663 ECBS,VA0760103,22066 A,1515743,SCANIA
3663 ECBS,VE0760102,22066 E,1328537,SCANIA
3802 ACB,VA0760215,22168 A,1319081,SCANIA
3803 ECS,VE0760216,22168 E,1360833,SCANIA
4242 AX,VA0761395,22667 A,1887056-1886946,SCANIA
4243 EX,VE0761394,22666 E,,SCANIA
3663 ECBS,VE0760102,22066 E,1328537,SCANIA
3972 A,VA0700758,1222 A,030 109 601 G,SEAT
3973 EX,VE0701141,21222 E,030 109 611 D,SEAT
1454 ECP,VE2250855,25351 E,41556-5400,SUBARU
454 AC,VA2250856,5351 A,41555-5400,SUBARU
1460 ES,VE0080326,25251 E,12915-73001,SUZUKI
23107 EPN ,VE0080325,1117 E,12915-82050,SUZUKI
3107 AN ,VA0080324,1117 A,12911-82000,SUZUKI
460 A,VA0080327,5251 A,12911-73001,SUZUKI
1442 E,VE0630729,21083 E,13715-34010,TOYOTA
1447 EP,VE0630727,21081 E,13715-25011,TOYOTA
1448 AP,VA0630732,1096 A,13711-40020,TOYOTA
1448 EP,VE0630733,21096 E,13715-40021,TOYOTA
1804 EPN,VE0631381,21095 E,13715-31070,TOYOTA
1809 E,VE0630735,1118 E,13715-64010,TOYOTA
3778 AN,VA0630739,21122 A,13711-17010,TOYOTA
3779 EBN,VE0630241,21122 E,13715-17010,TOYOTA
3892 AN ,VA0630259,1121 A,13711-58021,TOYOTA
3893 EPN ,VE0630260,21321 E,13715-58041,TOYOTA
4016 AN,VA0630213,1322 A,13711-0L020,TOYOTA
4017 EN,VE0630214,21322 E,13715-0L020,TOYOTA
442 A,VA0630728,1083 A,13711-34010/11,TOYOTA
443 AC,VA0630730,1093 A,13711-37/38010,TOYOTA
447 A,VA0630726,1081 A,13711-25011,TOYOTA
804 AN,VA0630731,1095 A,13711-31050,TOYOTA
809 A,VA0630734,1118 A,13711-64010,TOYOTA
1449 EP,VE0630738,21082 E,13715-24012/13,TOYOTA
1303 ECB,VE0700081,26208 E,068 109 611 C,VOLKSWAGEN
1305 ECP,VE0700021,21201 E,043 109 611,VOLKSWAGEN
1422 EB,VE0700062,21102 E,056 109 611 A,VOLKSWAGEN
1422 EGX,VE0700768,21102 EGNC,,VOLKSWAGEN
1452 E,VE0700755,21100 E,113 109 612,VOLKSWAGEN
1453 E,VE0700022,21101 E,311 109 612,VOLKSWAGEN
1814 ECP,VE0590708,21187 E,029 109 611 1,VOLKSWAGEN
1815 EB,VE0590703,21104 E,035 109 611 F,VOLKSWAGEN
1815 EGX,VE0700016,21104 EGNC,,VOLKSWAGEN
23238 EB,VE0590065,21605 EGNC,026 109 611 A,VOLKSWAGEN
23423ECBS,VE0130100,26154 E,9.6100.460.0024,VOLKSWAGEN
300 A,VA0700788,6207 A,068 109 601,VOLKSWAGEN
303 AC,VA0700082,6208 A,068 109 601 C,VOLKSWAGEN
3191 EB,VE0700286,21711 E,074 109 611,VOLKSWAGEN
3192 AC,VA0700766,1711 A,069 109 601 F,VOLKSWAGEN
3196 A,VA0700764,1710 A,028 109 601 B,VOLKSWAGEN
3197 EB,VE0700288,21710 E,028 109 611 E,VOLKSWAGEN
3310 A,VA0700757,1219 A,026 109 601-C,VOLKSWAGEN
3312 A,VA0590066,1204 AGNC,035 109 601 G,VOLKSWAGEN
3313 A,VA0700678,1705 AGNC,048 109 601 A,VOLKSWAGEN
3334 AC,VA0210153,2077 A,3924492-3802463,VOLKSWAGEN
3335 ECP,VE0210152,22177 E,3921444-3802085,VOLKSWAGEN
3422AC,VA0130101,6154 A,9.6100.460.0034,VOLKSWAGEN
3466 AC,VA0210151,2078 A,3920867-3802355,VOLKSWAGEN
3467 ECB,VE0210150,22078 E,3920868-3802356,VOLKSWAGEN
3482 AB,VA0700780,21927 A,028 109 601 H,VOLKSWAGEN
3483 EB,VE0700781,21927 E,046 109 611 F,VOLKSWAGEN
3484 A,VA0700088,1708 A,048 109 601 E,VOLKSWAGEN
3485 EBS,VE0700087,21708 EGNC,,VOLKSWAGEN
3485 EBS,VE0700190,21708 E,048 109 611 B,VOLKSWAGEN
3486 A,VA0700089,1718 A,078 109 601 B,VOLKSWAGEN
3488 AS,VA0700242,1707 A,058 109 601 C,VOLKSWAGEN
3489 ECBS,VE0700243,21707 E,058 109 611 E,VOLKSWAGEN
3508 A,VA0700009,1217 A,036 109 601 R,VOLKSWAGEN
3509 EB,VE0700008,21217 E,036 109 611 J,VOLKSWAGEN
3512 A,VA0700028,1207 A,030 109 601 AG,VOLKSWAGEN
3513 EB,VE0700027,21207 E,030 109 611 N,VOLKSWAGEN
3602 A,VA0590067,1134 A,026 109 601-D,VOLKSWAGEN
3786 A,VA0700762,1709 A,028 109 601 D,VOLKSWAGEN
3787 EBS,VE0700295,21709 E,028 109 611 G,VOLKSWAGEN
3868 A,VA0700863,1712 A,030109601 AP,VOLKSWAGEN
3869 EB,VE0700508,21712 E,030109611 AE,VOLKSWAGEN
3870 A,VA0700074,1713 A,036109601 AE,VOLKSWAGEN
3871 EB,VE0700073,21713 E,036109611 T,VOLKSWAGEN
3886 A,VA0700252,1188 A,032 109 601 P/M,VOLKSWAGEN
3887 EB ,VE0700268,21188 E,032 109 611 M/L,VOLKSWAGEN
3972 A,VA0700758,1222 A,030 109 601 G,VOLKSWAGEN
3973 EX,VE0701141,21222 E,030 109 611 D,VOLKSWAGEN
422 AC,VA0700061,1102 AGNC,056 109 601 A,VOLKSWAGEN
452 A,VA0700754,1100 A,113 109 601 B/A,VOLKSWAGEN
453 A,VA0700756,1101 A,311 109 601,VOLKSWAGEN
814 AC,VA0590044,1187 A,029 109 601 1,VOLKSWAGEN
815 AC,VA0700017,1104 AGNC,035 109 601 C,VOLKSWAGEN
4104 A,VA0701558,1292 A,03L 109 601,VOLKSWAGEN
4105 EB,VE0701559,21292 E,03L 109 611,VOLKSWAGEN
3886 A,VA0700252,1188 A,032 109 601 P/M,VOLKSWAGEN
1582 ECP,VE0710120,22117 E,468303,VOLVO
1861 ECP,VE0710064,22116 E,467855-8194224,VOLVO
3888 AC,VA0711383,2217 A,3978768,VOLVO
3889 ECB,VE0711384,22217 E,3978766,VOLVO
3914 ACB,VA0710203,25712 A,1547492-3169490,VOLVO
4218 AX,VA0711398,22511 A,20740798,VOLVO
4219 EX,VE0711399,22511 E,20768523-20768519,VOLVO
582 AC,VA0710121,2117 A,468302,VOLVO
860 AC,VA0710063,2116 A,469240-4675002-8194223,VOLVO
862 AC,VA0711447,5713 A,477447,VOLVO
