MAHLE,EDIVAL,3B,ORIGINAL,FABRICANTE,
"VA1211173 0,076",1900 A1,,,JEEP,
"VA1211173 0,127",1900 A2,,,JEEP,
"VA1211173 0,254",1900 A3,,,JEEP,
"VA1211173 0,381",1900 A4,,,JEEP,
"VA1211173 0,762",1900 A6,,,JEEP,
VE1210448,1029 E,1218 E,637183,JEEP,
VE1211174,1037 E,,3224597,JEEP,
"VE1211174 0,076",1037 E1,,3218813/3224602,JEEP,
"VE1211174 0,381",1037 E4,,3218814/3224603,JEEP,
"VE1211174 0,762",1037 E6,,,JEEP,
VE1211175,21900 E,,1370108,JEEP,
"VE1211175 0,076",21900 E1,,,JEEP,
"VE1211175 0,127",21900 E2,,,JEEP,
"VE1211175 0,254",21900 E3,,,JEEP,
"VE1211175 0,381",21900 E4,,,JEEP,
"VE1211175 0,762",21900 E6,,,JEEP,
VA1211668,1031 A,,646421,JEEP,
VE1210449,21031 E,,802639,JEEP,
VA1211669,6453 A,,800558,JEEP,
VE1210450,6453 E,,B-12421,JEEP,
VE0230118,26454 E,,B-27220,JEEP,
VA0430540,3033 A,550 AC,R-52251,JOHN DEERE,
"VA0430540 0,076",3033 A1,550 AC+3,R-57332,JOHN DEERE,
"VA0430540 0,076+08",3033 A1+08,,,JOHN DEERE,
"VA0430540 0,127",3033 A2,550 AC+5,,JOHN DEERE,
"VA0430540 0,127+08",3033 A2+08,,,JOHN DEERE,
"VA0430540 0,254",3033 A3,550 AC+10,,JOHN DEERE,
"VA0430540 0,254+08",3033 A3+08,,,JOHN DEERE,
"VA0430540 0,381",3033 A4,550 AC+15,,JOHN DEERE,
"VA0430540 0,381+08",3033 A4+08,,,JOHN DEERE,
VA0430540+08,3033 A+08,550 AC+0.8,,JOHN DEERE,
VA0430543,3020 A,532 A,F-3213-R/J,JOHN DEERE,
VA0430543+08,3020 A+08,532 A+0.8,,JOHN DEERE,
VA0430545,3049 A,,R-51735,JOHN DEERE,
"VA0430545 0,076",3049 A1,,,JOHN DEERE,
"VA0430545 0,127",3049 A2,,,JOHN DEERE,
"VA0430545 0,381",3049 A4,,,JOHN DEERE,
VA0430546,3051 A,,R-98062,JOHN DEERE,
"VA0430546 0,381",3051 A4,,R-97490,JOHN DEERE,
VA0431023,23234 A,,R-83071,JOHN DEERE,
"VA0431023 0,076",23234 A1,,R-89223,JOHN DEERE,
"VA0431023 0,381",23234 A4,,R-89224,JOHN DEERE,
VA0431025,3058 A,,R-43883,JOHN DEERE,
"VA0431025 0,381",3058 A4,,R-45004,JOHN DEERE,
VA0431026,3059 A,,R-44174,JOHN DEERE,
VA0431028,3061 A,,R-90602,JOHN DEERE,
VA0431029,3062 A,,R-75690,JOHN DEERE,
VA0431030,3063 A,,R-84618,JOHN DEERE,
VA0431032,3158 A,,R-50358,JOHN DEERE,
VA0431033,3233 A,,R-79623,JOHN DEERE,
"VA0431033 0,076",3233 A1,,R-79628,JOHN DEERE,
"VA0431033 0,381",3233 A4,,R-79629,JOHN DEERE,
"VA0431033 0,762",3233 A6,,R-79630,JOHN DEERE,
VC0430539,22056 AE,,,JOHN DEERE,
VC0430539+08,22056 AE+08,,,JOHN DEERE,
VE0430541,23033 E,1550 EC,R-52252,JOHN DEERE,
"VE0430541 0,076",23033 E1,1550 EC+3,R-57333,JOHN DEERE,
"VE0430541 0,076+08",23033 E1+08,,,JOHN DEERE,
"VE0430541 0,127",23033 E2,1550 EC+5,,JOHN DEERE,
"VE0430541 0,127+08",23033 E2+08,,,JOHN DEERE,
"VE0430541 0,254",23033 E3,1550 EC+10,,JOHN DEERE,
"VE0430541 0,254+08",23033 E3+08,,,JOHN DEERE,
"VE0430541 0,381",23033 E4,1550 EC+15,,JOHN DEERE,
"VE0430541 0,381+08",23033 E4+08,,,JOHN DEERE,
VE0430541+08,23033 E+08,1550 EC+0.8,,JOHN DEERE,
VE0430542,23051 E,,R-90692,JOHN DEERE,
"VE0430542 0,381",23051 E4,,,JOHN DEERE,
VE0430544,3020 E,533 E,F-3214-R/J,JOHN DEERE,
VE0430544+08,3020 E+08,533 E+0.8,,JOHN DEERE,
VE0431315,23058 E,,R-50357,JOHN DEERE,
VE0431316,23059 E,,R-44175,JOHN DEERE,
VE0431317,23061 E,,R-90601,JOHN DEERE,
VE0431318,23062 E,,R-63982,JOHN DEERE,
VE0431319,23063 E,,R-84619,JOHN DEERE,
VE0431321,23158 E,,R-43679,JOHN DEERE,
"VE0431321 0,381",23158 E4,,R-43788,JOHN DEERE,
VE0431323,23233 E,,R-79624,JOHN DEERE,
"VE0431323 0,076",23233 E1,,R-79625,JOHN DEERE,
"VE0431323 0,381",23233 E4,,R-79626,JOHN DEERE,
"VE0431323 0,762",23233 E6,,R-79627,JOHN DEERE,
VA3161189,530 A,,,KAWASAKI,
VA3161190,531 A,,12004-014,KAWASAKI,
VA3161191,532 A,,12004-1010,KAWASAKI,
VA3161192,533 A,,,KAWASAKI,
VA3161193,534 A,,12004-1003,KAWASAKI,
VA3161194,535 A,,,KAWASAKI,
VA3161195,536 A,,,KAWASAKI,
VE3160862,20532 E,,12005-1009,KAWASAKI,
VE3161196,20530 E,,,KAWASAKI,
VE3161197,20531 E,,12005-007,KAWASAKI,
VE3161198,20533 E,,,KAWASAKI,
VE3161199,20534 E,,12005-1003,KAWASAKI,
VE3161200,20535 E,,,KAWASAKI,
VE3161201,20536 E,,,KAWASAKI,
VA0870812,5305 A,3296 A,0636-12-111,KIA MOTORS,
VA2081440,1150 A,,22211-27001,KIA MOTORS,
VA2110185,21147 A,3548 APN,ON01-12-111,KIA MOTORS,
VA2110187,1146 A,3828 AN,OK75D-12-111,KIA MOTORS,
VA2110229,1145 A,3298 AN,K710-12-111,KIA MOTORS,
VE0870814,25315 E,,0636-12-121,KIA MOTORS,
VE2081441,21150 E,,22212-27001,KIA MOTORS,
VE2110186,21147 E,3548 EBN,ON01-12-121,KIA MOTORS,
VE2110188,21146 E,3827 EBN,OK63C-12-121,KIA MOTORS,
VE2110249,21145 E,3299 EN,K710-12-121,KIA MOTORS,
VA2111594,5155 A,,22211-4A061,KIA MOTORS,
VE2111595,25155 E,,22212-4061,KIA MOTORS,
VA0861149,3044 A,,6127-41-4113,KOMATSU,
VA0411021,6481 A,,40-B-21,KUBOTTA,
VA0411022,6483 A,,14B-21,KUBOTTA,
VE0411023,6482 E,,5B-21,KUBOTTA,
VA0640741,1552 A,384 A,2101-1007010,LADA,
VA0640743,1553 A,3380 A,21081-1007010,LADA,
VA0640745,1554 A,3382 A,2108-1007010,LADA,
VE0640742,21552 E,1384 E,2101-1007012,LADA,
VE0640744,1553 E,3381 EP,2108-1007012,LADA,
VA0601113,2020 A,,F6001229,MACK TRUCKS,
VA0601442,2244 A,,690-GC-342,MACK TRUCKS,
VE0601116,22020 E,,,MACK TRUCKS,
VE0601117,22021 E,,,MACK TRUCKS,
VE0601443,22244 E,,G88-GC-416,MACK TRUCKS,
VA0601675,22224 A,,690 GC-2210,MACK TRUCKS,
VE0601676,22224 E,,688-GC-2378,MACK TRUCKS,
VA0601677,2431 A,,690-GC-410,MACK TRUCKS,
VE0601678,22410 E,,688-GC-344,MACK TRUCKS,
VA0601679,2122 A,,690-GC-2193,MACK TRUCKS,
VE0601680,2122 E,,688-GC-337A,MACK TRUCKS,
VA0601681,2124 A,,690-GC-2187,MACK TRUCKS,
VE0601682,22124 E,,688-GC-2352A,MACK TRUCKS,
VA0461153,2046 A,,51041010305,MAN,
VA0461154,2047 A,,,MAN,
VA0461155,22520 A,4000 ACB,51041010375,MAN,
VA0461324,2521 A,,51041010425,MAN,
VE0460600,22046 E,,51041010373,MAN,
VE0461163,2047 E,,,MAN,
VE0461325,22520 E,4001 ECB,51041010447,MAN,
VE0461326,22521 E,,51041010410,MAN,
VA0461693,22844 A,,07W109601,MAN,
VE0461694,22844 E,,07W109611,MAN,
VA0870805,1148 A,845 AN,ESD3-12-111,MAZDA,
VA0870806,1149 A,829 AN (30º) ,F801-12-111A,MAZDA,
VA0870808,5303 A,467 AN,0324-12-111A,MAZDA,
VA0870810,5304 A,468 A,0290-12-111C,MAZDA,
VA0870812,5305 A,3296 A,0636-12-111,MAZDA,
VA0871566,5150 A,,SL01-12-111,MAZDA,
VA2110185,21147 A,3548 APN,ON01-12-111,MAZDA,
VA2110229,1145 A,3298 AN,K710-12-111,MAZDA,
VE0870807,21149 E,1829 EPN (30º),F804-12-121,MAZDA,
VE0870809,25303 E,1467 EN,0324-12-121A/B,MAZDA,
VE0870811,25304 E,1468 E,0305-12-121,MAZDA,
VE0870813,25305 E,3297 EBN,0527-12-121,MAZDA,
VE0870814,25315 E,,0636-12-121,MAZDA,
VE0871150,21148 E,1845 EPN,E358-12-121,MAZDA,
VE0871567,25150 E,,SL01-12-121,MAZDA,
VE2110186,21147 E,3548 EBN,ON01-12-121,MAZDA,
VE2110249,21145 E,3299 EN,K710-12-121,MAZDA,
VA0871566,5150 A,,SL01-12-111,MAZDA,
VE0871567,25150 E,,SL01-12-121,MAZDA,
VA0480004,2126 A,,3520530101,MERCEDES-BENZ,
VA0480006,23047 A,3260 ACB,3660500326,MERCEDES-BENZ,
VA0480006+04,23047 A+04,3260 ACB+0.4,,MERCEDES-BENZ,
VA0480006+08,23047 A+08,3260 ACB+0.8,,MERCEDES-BENZ,
VA0480007,23147 A,3260 ACB 20º,3660501226,MERCEDES-BENZ,
VA0480048,2042 A,229 AC,3460530001,MERCEDES-BENZ,
VA0480048+04,2042 A+04,229 AC+0.4,,MERCEDES-BENZ,
VA0480048+08,2042 A+08,229 AC+0.8,,MERCEDES-BENZ,
VA0480056,22477 A,1839 ACB,4220500226/4420500526,MERCEDES-BENZ,
VA0480080,2142 A,843 AC,3450537001,MERCEDES-BENZ,
VA0480080+04,2142 A+04,843 AC+0.4,,MERCEDES-BENZ,
VA0480080+08,2142 A+08,843 AC+0.8,,MERCEDES-BENZ,
VA0480091,2143 A,3262 AC,3550530001,MERCEDES-BENZ,
VA0480096,3046 A,2026 AC(30º),3660500226,MERCEDES-BENZ,
VA0480096+04,3046 A+04,2026 AC(30º)+0.4,,MERCEDES-BENZ,
VA0480096+08,3046 A+08,2026 AC(30º)+0.8,,MERCEDES-BENZ,
VA0480193,23148 A,3856 AC,5410500226,MERCEDES-BENZ,
VA0480233,2467 A,3658 AN ,6110530101,MERCEDES-BENZ,
VA0480244,22478 A,3846 AC,9060500326,MERCEDES-BENZ,
VA0480601,2013 A,,3150530201,MERCEDES-BENZ,
VA0480602,1030 A,221A,636 053 0101,MERCEDES-BENZ,
VA0480604,2012 A,224 AC,3210530801/901,MERCEDES-BENZ,
VA0480604+08,2012 A+08,224 AC+0.8,,MERCEDES-BENZ,
VA0480606,2026 A,226 AC,3520530101,MERCEDES-BENZ,
VA0480606+04,2026 A+04,226 AC+0.4,,MERCEDES-BENZ,
VA0480606+08,2026 A+08,226 AC+0.8,,MERCEDES-BENZ,
VA0480610,22032 A,20226 ACB 45°,3520500026,MERCEDES-BENZ,
VA0480610+04,22032 A+04,20226 ACB+0.4 45°,,MERCEDES-BENZ,
VA0480610+08,22032 A+08,20226 ACB+0.8 45°,,MERCEDES-BENZ,
VA0480612,22132 A,20226 ACB (30º),,MERCEDES-BENZ,
VA0480612+04,22132 A+04,20226 ACB (30º)+0.4,,MERCEDES-BENZ,
VA0480612+08,22132 A+08,20226 ACB (30º)+0.8,,MERCEDES-BENZ,
VA0480617,2476 A,824 AC,6160530301/0201,MERCEDES-BENZ,
VA0480618,6302 A,,3260530701,MERCEDES-BENZ,
VA0481047,23347 A,,376 053 7501,MERCEDES-BENZ,
VA0481436,3648 A,4096 AC,A5410530101,MERCEDES-BENZ,
VA0481563,2465 A,,6510530101,MERCEDES-BENZ,
VA0570250,22101 A,3344 ACB,70910053,MERCEDES-BENZ,
VC0481344,60791,3874 EC,9060160791,MERCEDES-BENZ,
VC0481345,60691,3875 EC,5410160791,MERCEDES-BENZ,
VC0481444,60291 ,3693 E,A4420160291,MERCEDES-BENZ,
VE0480003,2026 E,,3520531505,MERCEDES-BENZ,
VE0480005,23047 E,23260 ECB ,3660500227,MERCEDES-BENZ,
VE0480005+04,23047 E+04,23260 ECB+0.4,,MERCEDES-BENZ,
VE0480005+08,23047 E+08,23260 ECB+0.8,,MERCEDES-BENZ,
VE0480047,22042 E,1229 EC,3460530005,MERCEDES-BENZ,
VE0480047+04,22042 E+04,1229 EC+0.4,,MERCEDES-BENZ,
VE0480047+08,22042 E+08,1229 EC+0.8,,MERCEDES-BENZ,
VE0480055,22477 E,1839 ECB,4220500127/4420500227,MERCEDES-BENZ,
VE0480079,22142 E,1843 ECP,3450500127/7005,MERCEDES-BENZ,
VE0480079+04,22142 E+04,1843 ECP+0.4,,MERCEDES-BENZ,
VE0480079+08,22142 E+08,1843 ECP+0.8,,MERCEDES-BENZ,
VE0480090,22143 E,3263 ECB,3550530005,MERCEDES-BENZ,
VE0480097,23046 E,23260 ECB,3660500027,MERCEDES-BENZ,
VE0480097+04,23046 E+04,23260 ECB+0.4,,MERCEDES-BENZ,
VE0480097+08,23046 E+08,23260 ECB+0.8,,MERCEDES-BENZ,
VE0480194,23148 E,3857 ECB,5410500227,MERCEDES-BENZ,
VE0480245,22478 E,3847 ECB,9060500327,MERCEDES-BENZ,
VE0480251,22467 E,3659 EN ,6110530105,MERCEDES-BENZ,
VE0480300,22476 E,1824 ECB ,6160500527/0027,MERCEDES-BENZ,
VE0480603,1030 E,222 E,636 053 0105,MERCEDES-BENZ,
VE0480605,22012 E,1225 ECP,3210530705,MERCEDES-BENZ,
VE0480605+08,22012 E+08,1225 ECP+0.8,,MERCEDES-BENZ,
VE0480607,22026 E,1226 ECB,3520531505,MERCEDES-BENZ,
VE0480607+04,22026 E+04,1226 ECB+0.4,,MERCEDES-BENZ,
VE0480607+08,22026 E+08,1226 ECB+0.8,,MERCEDES-BENZ,
VE0480611,22032 E,21226 ECB,,MERCEDES-BENZ,
VE0480611+04,22032 E+04,21226 ECB+0.4,,MERCEDES-BENZ,
VE0480611+08,22032 E+08,21226 ECB+0.8,,MERCEDES-BENZ,
VE0480616,23147 E,23260 ECB,3660500627,MERCEDES-BENZ,
VE0481049,22013 E,,3150530005,MERCEDES-BENZ,
VE0481330,23347 E,,376 053 0105,MERCEDES-BENZ,
VE0481331,26302 E,,3260530905,MERCEDES-BENZ,
VE0481437,23648 E,4097 ECB,4570500327,MERCEDES-BENZ,
VE0481487,22688 E,4109 ECB,9060500827,MERCEDES-BENZ,
VE0481564,22465 E,,6510530127,MERCEDES-BENZ,
VE0570230,22101 E,23345 ECBS,70910054,MERCEDES-BENZ,
VA0481563,2465 A,,6510530101,MERCEDES-BENZ,
VE0481564,22465 E,,6510500127,MERCEDES-BENZ,
VC0481565,60191,,A 442 016 03 91,MERCEDES-BENZ,
VA1950223,21626 A,,MD-198403/04,MITSUBISHI,
VA1950247,6081 A,3580 AN ,ME-202687,MITSUBISHI,
VA1950261,1627 A,3464 AN,MD-159502,MITSUBISHI,
VA1950821,1086 A,462 A,MD-016460,MITSUBISHI,
VA1950823,1127 A,3522 AN,MD-070691,MITSUBISHI,
VA1950825,1128 A,4032 AN,MD-085253,MITSUBISHI,
VA1950827,1129 A,3462 AN ,MD-162422,MITSUBISHI,
VA1950829,1624 A,3594 A,MD-083661,MITSUBISHI,
VA1950831,1628 A,3278 AN,MD-029006,MITSUBISHI,
VA1950834,21126 A,,32A0410101,MITSUBISHI,
VA1950835,5201 A,831 A,MD-000480,MITSUBISHI,
VA1950838,5051 A,3426 A,MD-128740,MITSUBISHI,
VA1950234,1629 A,,MD-088811,MITSUBISHI,
VE1950224,21626 E,,MD-198405/06,MITSUBISHI,
VE1950246,26081 E,3581 EBN ,ME-202688,MITSUBISHI,
VE1950262,21627 E,3465 EBM,MD-197106,MITSUBISHI,
VE1950822,21086 E,1462 E,MD-016461,MITSUBISHI,
VE1950824,21127 E,3523 EBN,MD-070693,MITSUBISHI,
VE1950826,21128 E,4033 EPN,MD-085254,MITSUBISHI,
VE1950828,21129 E,3463 EBN ,MD-162616,MITSUBISHI,
VE1950830,21624 E,3595 EP,MD-083662,MITSUBISHI,
VE1950832,21628 E,3279 EPN,MD-029007,MITSUBISHI,
VE1950834,21126 E,,32A0411100,MITSUBISHI,
VE1950836,25201 E,1831 ECP,MD-000481,MITSUBISHI,
VE1950235,21629 E,,MD088812,MITSUBISHI,
VE2081186,25051 E,3427 ESS,MD-127841,MITSUBISHI,
VA9990876,4726 A,,20672600,MOT. ESTAC. (BOUNOUS),
VA9990888,4639 A,,22072601,MOT. ESTAC. (BOUNOUS),
VA9990897,4638 A,,20772600,MOT. ESTAC. (BOUNOUS),
VA9991162,4642 A,,21272600,MOT. ESTAC. (BOUNOUS),
VE9990887,24639 E,,22072701,MOT. ESTAC. (BOUNOUS),
VE9990889,24727 E,,20672700,MOT. ESTAC. (BOUNOUS),
VA9990890,4001 A,,,MOT. ESTAC. (DIAR),
VA9990892,4002 A,,,MOT. ESTAC. (DIAR),
VE9990891,4001 E,,,MOT. ESTAC. (DIAR),
VE9990893,4002 E,,,MOT. ESTAC. (DIAR),
VA9990886,4014 A,,,MOT. ESTAC. (INARMO),
VA9990895,4004 A,,20009,MOT. ESTAC. (INARMO),
VE9990880,24004 E,,20010,MOT. ESTAC. (INARMO),
VE9990885,24014 E,,,MOT. ESTAC. (INARMO),
VA9991158,4011 A,,A3 100053,MOT. ESTAC. (IRALVIL),
VA9991161,4100 A,,A-3100045,MOT. ESTAC. (IRALVIL),
VE9991167,24011 E,,A3 100053,MOT. ESTAC. (IRALVIL),
VE9991171,24100 E,,A-3100045,MOT. ESTAC. (IRALVIL),
VC9990894,4003 AE,,,MOT. ESTAC. (LISTER),
VA9991156,4005 A,,554,MOT. ESTAC. (MILROD),
VA9991157,4009 A,,,MOT. ESTAC. (MILROD),
VE9991164,24005 E,,544,MOT. ESTAC. (MILROD),
VE9991166,24009 E,,,MOT. ESTAC. (MILROD),
VA9990896,4006 A,,,MOT. ESTAC. (ORIPON),
VE9991165,24006 E,,,MOT. ESTAC. (ORIPON),
VA9990882,4007 A,,,MOT. ESTAC. (VILLA),
"VA9990882 0,076",4007 A1,,,MOT. ESTAC. (VILLA),
"VA9990882 0,127",4007 A2,,,MOT. ESTAC. (VILLA),
VA9990884,4008 A,,,MOT. ESTAC. (VILLA),
"VA9990884 0,076",4008 A1,,,MOT. ESTAC. (VILLA),
"VA9990884 0,127",4008 A2,,,MOT. ESTAC. (VILLA),
VA9991160,4020 A,,95,MOT. ESTAC. (VILLA),
VE9990881,24007 E,,,MOT. ESTAC. (VILLA),
"VE9990881 0,076",24007 E1,,,MOT. ESTAC. (VILLA),
"VE9990881 0,127",24007 E2,,,MOT. ESTAC. (VILLA),
VE9990883,24008 E,,,MOT. ESTAC. (VILLA),
"VE9990883 0,076",24008 E1,,,MOT. ESTAC. (VILLA),
"VE9990883 0,127",24008 E2,,,MOT. ESTAC. (VILLA),
VE9991169,24020 E,,95,MOT. ESTAC. (VILLA),
VE9991170,24021 E,,401/1,MOT. ESTAC. (VILLA),
VA0130011,6151 A, 565 AC,9.2260.460.0054,MWM,
VA0130099,6153 A,3390 AC,6.2280.460.3014,MWM,
VA0130101,6154 A,3422AC,9.6100.460.0034,MWM,
VA0130277,6156 A,3546 AC,9.4070.460.0034,MWM,
VA0130933,26154 A,,9.6120.460.0024,MWM,
VA0130935,6152 A,,9.2220.460.0024,MWM,
VE0130010,6151 E, 1565 ECP,9.3080.460.0024,MWM,
VE0130098,26153 E,3391 ECB,9.2290.460.0034,MWM,
VE0130100,26154 E,23423ECBS,9.6100.460.0024,MWM,
VE0130239,26354 E,,9.6120.460.0014,MWM,
VE0130278,26156 E,3547 ECBS,9.4070.460.0024,MWM,
VE0131337,6152 E,,9.2220.460.1014,MWM,
VA0381699,6183 A,,1839968-C1,MWM,
VE0381700,26183 E,,1839968-C1,MWM,
VE0380227,22038 E,,676865-C4,NAVISTAR,
VE0380230,22072 E,,1824838-C1,NAVISTAR,
VA0030138,5004 A,3227 AC,13201/202-H2310,NISSAN,
VA0030139 ,5007 A,,13201-N8501,NISSAN,
VA0030204,5008 A,3528 AN,13201-40F00,NISSAN,
VA0030311 ,1090 A,438 AC,13201-H1000,NISSAN,
VA0030313,1115 A,437 AN ,13201-P0500,NISSAN,
VA0030314,1123 A,3772 APN,13201-G2403,NISSAN,
VA0030317,21197 A,,13201-22301,NISSAN,
VA0030319,4397 A,,13201-22J10/J11,NISSAN,
VA0030320,4398 A,3352 A,13201-515-G0,NISSAN,
VA0030321,5012 A,3350 A,13201-L2000,NISSAN,
VA0030331,1124 A,4028 AN,13201-50K00,NISSAN,
VA0030379,5010 A,,13201-25M00,NISSAN,
VA0030380,5011 A,841 AN,13201-31M00,NISSAN,
VA0031126,25009 A,3454 AN,13201-57Y00,NISSAN,
VA0031340,5013 A,3282 AN,13201-V5202,NISSAN,
VA0031455,1199 A,,13201-W0401,NISSAN,
VA0031457,5014 A,,13201-EN20A,NISSAN,
VA0181483,1364 A,4080 AN,,NISSAN,
VE0030312,1092 E,1438 E,13202-N0400/1,NISSAN,
VE0030315,21115 E,1437 EPN ,13202-78201,NISSAN,
VE0030316,21123 E,3773 EPN,13202-G2403,NISSAN,
VE0030317,21197 E,,13202-V7202,NISSAN,
VE0030318,25013 E,23282 EBN,13202-V6510,NISSAN,
VE0030381 ,25004 E,23227 ECP,13212/213-H2310,NISSAN,
VE0030686,25008 E,3529 EBN,13202-40F01,NISSAN,
VE0030901,25012 E,3351 E,13202-L2000,NISSAN,
VE0031108,25011 E,1841 EBN,13202-31M00,NISSAN,
VE0031111,25010 E,,13202-63A00,NISSAN,
VE0031120,25009 E,3455 EBN,13202-57Y00,NISSAN,
VE0031121,25007 E,,13202-N8500,NISSAN,
VE0031122,24398 E,3353 E,13202-515-G0,NISSAN,
VE0031123,24397 E,,13202-40L00/L01,NISSAN,
VE0031124,21124 E,4029 EPN,13202-50K02,NISSAN,
VE0031249,1090 E,,13202-21002/03,NISSAN,
VE0031456,21199 E,,13202-W0401/27G00,NISSAN,
VE0031458,25014 E,,13202-EN20B,NISSAN,
VE0181484,21364 E,4081 EPN,,NISSAN,
VA0181606,1379 A,,13201-00Q0H,NISSAN,
VE0181607,21379 E,,13202-0020K,NISSAN,
VA0031608,5117 A,,132013AC0A,NISSAN,
VE0031609,25017 E,,132023HC0A,NISSAN,
VA3191204,1044 A,,E410501004,NSU,
VE3191205,1044 E,,E400502015,NSU,
VA0020136,1109 A,,412354,OLDSMOBILE,
VA0570024,2030 A,249 AC,31431315,PERKINS (MAXION),
VA0570024+04,2030 A+04,,31431315/A,PERKINS (MAXION),
VA0570024+08,2030 A+08,,31431315/B,PERKINS (MAXION),
VA0570032,6353 A,,70910001/0004,PERKINS (MAXION),
VA0570033,2015 A,250 A,0910030-0910069,PERKINS (MAXION),
VA0570035,2014 A,247 A,31431261/0910001,PERKINS (MAXION),
VA0570035+04,2014 A+04,247 A+0.4,,PERKINS (MAXION),
VA0570035+08,2014 A+08,247 A+0.8,,PERKINS (MAXION),
VA0570038,2414 A,3392 AC,70910017,PERKINS (MAXION),
VA0570111,22031 A,1498 ACP,70910011,PERKINS (MAXION),
VA0570123,2100 A,3342 AC,70910025/35,PERKINS (MAXION),
VA0570231,2310 A,3858 ACB ,70910081,PERKINS (MAXION),
VA0570250,22101 A,3344 ACB,70910053,PERKINS (MAXION),
VA0570648,2139 A,,008277,PERKINS (MAXION),
VA0570650,2023 A,249 AC,31431103/641,PERKINS (MAXION),
VA0570650+04,2023 A+04,249 AC+0.4,,PERKINS (MAXION),
VA0570650+08,2023 A+08,249 AC+0.8,,PERKINS (MAXION),
VA0570652,2039 A,596 A,008212,PERKINS (MAXION),
VA0570652+04,2039 A+04,596 A+0.4,,PERKINS (MAXION),
VA0570652+08,2039 A+08,596 A+0.8,,PERKINS (MAXION),
VA0570654,2138 A,,BDU 1399,PERKINS (MAXION),
VA0570657,22100 A,3388 ACB,70910037/34,PERKINS (MAXION),
VA0570661,2449 A,3386 AC,008290,PERKINS (MAXION),
VA0571013,2055 A,,31431641,PERKINS (MAXION),
VA0571014,2301 A,,31431281,PERKINS (MAXION),
VA0571066,2230 A,,008247,PERKINS (MAXION),
VA0571367,6176 A,,70910060,PERKINS (MAXION),
VA0571369,26176 A,,70910061,PERKINS (MAXION),
VA0571375,6182 A,,70910020,PERKINS (MAXION),
VE0570023,22029 E,,31431851,PERKINS (MAXION),
VE0570031,6353 E,,70910002,PERKINS (MAXION),
VE0570034,22015 E,251 E,0910041-0910073,PERKINS (MAXION),
VE0570036,2014 E,248 E,0910002,PERKINS (MAXION),
VE0570037,22414 E,3393 ECB,70910018,PERKINS (MAXION),
VE0570112,22031 E,1498 ECP,70910012,PERKINS (MAXION),
VE0570122,22100 E, 3389 ECB,70910038/36/27,PERKINS (MAXION),
VE0570230,22101 E,23345 ECBS,70910054,PERKINS (MAXION),
VE0570232,22310 E,3859 EBN,70910080,PERKINS (MAXION),
VE0570649,22304 E,,3142A051,PERKINS (MAXION),
VE0570651,22023 E,1249 ECP,31431104,PERKINS (MAXION),
VE0570651+04,22023 E+04,1249 ECP+0.4,,PERKINS (MAXION),
VE0570651+08,22023 E+08,1249 ECP+0.8,,PERKINS (MAXION),
VE0570653,22039 E,1596 EP,008211,PERKINS (MAXION),
VE0570653+04,22039 E+04,1596 EP+0.4,,PERKINS (MAXION),
VE0570653+08,22039 E+08,1596 EP+0.8,,PERKINS (MAXION),
VE0570655,22014 E,1248 E,31431471/271,PERKINS (MAXION),
VE0570655+04,22014 E+04,1248 E+0.4,,PERKINS (MAXION),
VE0570655+08,22014 E+08,1248 E+0.8,,PERKINS (MAXION),
VE0570656,22030 E,1499 ECP,31431752,PERKINS (MAXION),
VE0570656+04,22030 E+04,,31431752/A,PERKINS (MAXION),
VE0570656+08,22030 E+08,,31431752/B,PERKINS (MAXION),
VE0570660,22138 E,,BDU 1400,PERKINS (MAXION),
VE0570662,22449 E,3387 ECP,008291,PERKINS (MAXION),
VE0571071,22139 E,,008278,PERKINS (MAXION),
VE0571072,22230 E,,008248,PERKINS (MAXION),
VE0571327,22303 E,,31431591,PERKINS (MAXION),
VE0571368,26176 E,,70910059,PERKINS (MAXION),
VE0571376,26182 E,,70910019,PERKINS (MAXION),
VA0010211,22083 A,3510 ACB,7301820,PEUGEOT,
VA0440547,1032 A,236 A,467397,PEUGEOT,
VA0440549,1070 AGNC,292 AC,7910029578,PEUGEOT,
VA0440551,1205 AGNC, 3301 AC,9153501780,PEUGEOT,
VA0440553,1208 AGNC,,,PEUGEOT,
VA0440555,1209 AGNC,3242 A,,PEUGEOT,
VA0440557,1210 AGNC,3542 A,094866/9605936180,PEUGEOT,
VA0440559,1103 AGNC,,9153695480,PEUGEOT,
VA0440561,1225 AGNC,3540 A,9628943380/094892,PEUGEOT,
VA0440564,1053 A,242 A,7812099000,PEUGEOT,
VA0440565,1057 A,246 AC,7581718000,PEUGEOT,
VA0440565+04,1057 A+04,246 AC+0.4,,PEUGEOT,
VA0440565+08,1057 A+08,246 AC+0.8,,PEUGEOT,
VA0440566,1075 A,381 AC,7932582418,PEUGEOT,
VA0440566+04,1075 A+04,381 AC+0.4,,PEUGEOT,
VA0440566+08,1075 A+08,381 AC+0.8,,PEUGEOT,
VA0440567,1151 A,3241 AC,9350111580/480,PEUGEOT,
VA0440567+04,1151 A+04,3241 AC+0.4,,PEUGEOT,
VA0440567+08,1151 A+08,3241 AC+0.8,,PEUGEOT,
VA0440568,1206 A,3304 A ,96005391,PEUGEOT,
VA0440569,1208 A,3576 A ,094861/9626052980,PEUGEOT,
VA0440570,1209 A,3242 A,094858,PEUGEOT,
